mode,assumption,side,metric,dimension,delta,size,communication_mb,runtime_s
prefix,uniqBlk,recv,2,2,256,4096,162.12,6.66
prefix,uniqBlk,recv,2,2,512,4096,179.96,7.37
normal,uniqBlk,recv,2,4,32,4096,367.62,9.61
normal,uniqBlk,recv,2,4,64,4096,717.17,17.93
normal,uniqBlk,recv,2,4,128,4096,1415.77,35.54
normal,uniqBlk,recv,2,4,256,4096,2813.58,73.14
normal,uniqBlk,recv,2,4,512,4096,5610.19,141.26
prefix,uniqBlk,recv,2,4,32,4096,263.22,9.63
prefix,uniqBlk,recv,2,4,64,4096,306.83,11.09
prefix,uniqBlk,recv,2,4,128,4096,350.20,12.45
prefix,uniqBlk,recv,2,4,256,4096,394.08,14.24
prefix,uniqBlk,recv,2,4,512,4096,437.73,15.87
normal,uniqBlk,recv,2,6,32,4096,2149.32,52.40
normal,uniqBlk,recv,2,6,64,4096,4249.83,109.84
normal,uniqBlk,recv,2,6,128,4096,8452.55,218.51
normal,uniqBlk,recv,2,6,256,4096,16861.43,447.69
normal,uniqBlk,recv,2,6,512,4096,33553.55,967.63
prefix,uniqBlk,recv,2,6,32,4096,687.98,24.19
prefix,uniqBlk,recv,2,6,64,4096,802.92,25.46
prefix,uniqBlk,recv,2,6,128,4096,916.94,27.46
prefix,uniqBlk,recv,2,6,256,4096,1030.87,32.82
prefix,uniqBlk,recv,2,6,512,4096,1144.66,40.48
