mode,assumption,side,metric,dimension,delta,size,communication_mb,runtime_s
normal,uniqBlk,recv,0,2,32,4096,48.58,1.45
normal,uniqBlk,recv,0,2,64,4096,92.15,2.54
normal,uniqBlk,recv,0,2,128,4096,179.32,4.54
normal,uniqBlk,recv,0,2,256,4096,353.75,8.67
normal,uniqBlk,recv,0,2,512,4096,702.75,17.03
prefix,uniqBlk,recv,0,2,32,4096,29.76,1.96
prefix,uniqBlk,recv,0,2,64,4096,33.70,2.12
prefix,uniqBlk,recv,0,2,128,4096,37.79,2.32
prefix,uniqBlk,recv,0,2,256,4096,41.83,2.53
prefix,uniqBlk,recv,0,2,512,4096,45.75,2.71
normal,uniqBlk,recv,0,4,32,4096,361.61,8.91
normal,uniqBlk,recv,0,4,64,4096,710.66,17.14
normal,uniqBlk,recv,0,4,128,4096,1409.19,34.32
normal,uniqBlk,recv,0,4,256,4096,2806.76,68.73
normal,uniqBlk,recv,0,4,512,4096,5603.14,139.48
prefix,uniqBlk,recv,0,4,32,4096,86.46,3.93
prefix,uniqBlk,recv,0,4,64,4096,98.56,4.83
prefix,uniqBlk,recv,0,4,128,4096,110.85,5.07
prefix,uniqBlk,recv,0,4,256,4096,123.06,5.59
prefix,uniqBlk,recv,0,4,512,4096,135.24,5.90
normal,uniqBlk,recv,0,6,32,4096,2141.00,55.85
normal,uniqBlk,recv,0,6,64,4096,4241.01,103.50
normal,uniqBlk,recv,0,6,128,4096,8443.66,219.94
normal,uniqBlk,recv,0,6,256,4096,16852.30,474.79
normal,uniqBlk,recv,0,6,512,4096,33544.18,996.22
prefix,uniqBlk,recv,0,6,32,4096,301.11,9.12
prefix,uniqBlk,recv,0,6,64,4096,343.89,10.47
prefix,uniqBlk,recv,0,6,128,4096,386.23,12.30
prefix,uniqBlk,recv,0,6,256,4096,428.84,13.69
prefix,uniqBlk,recv,0,6,512,4096,471.97,14.29
normal,uniqBlk,recv,1,2,32,4096,51.83,1.57
normal,uniqBlk,recv,1,2,64,4096,95.43,2.67
normal,uniqBlk,recv,1,2,128,4096,182.64,4.74
normal,uniqBlk,recv,1,2,256,4096,357.21,9.09
normal,uniqBlk,recv,1,2,512,4096,706.33,17.25
prefix,uniqBlk,recv,1,2,32,4096,80.17,3.97
prefix,uniqBlk,recv,1,2,64,4096,93.12,4.32
prefix,uniqBlk,recv,1,2,128,4096,106.11,4.82
prefix,uniqBlk,recv,1,2,256,4096,119.26,5.56
prefix,uniqBlk,recv,1,2,512,4096,132.36,6.02
normal,uniqBlk,recv,1,4,32,4096,367.18,9.14
normal,uniqBlk,recv,1,4,64,4096,716.27,17.49
normal,uniqBlk,recv,1,4,128,4096,1414.84,34.57
normal,uniqBlk,recv,1,4,256,4096,2812.54,72.58
normal,uniqBlk,recv,1,4,512,4096,5609.03,146.14
prefix,uniqBlk,recv,1,4,32,4096,207.10,8.34
prefix,uniqBlk,recv,1,4,64,4096,240.99,9.59
prefix,uniqBlk,recv,1,4,128,4096,275.07,10.91
prefix,uniqBlk,recv,1,4,256,4096,309.59,12.01
prefix,uniqBlk,recv,1,4,512,4096,343.87,13.19
normal,uniqBlk,recv,1,6,32,4096,2148.88,56.24
normal,uniqBlk,recv,1,6,64,4096,4248.93,115.48
normal,uniqBlk,recv,1,6,128,4096,8451.61,234.19
normal,uniqBlk,recv,1,6,256,4096,16860.39,445.43
normal,uniqBlk,recv,1,6,512,4096,33552.39,989.84
prefix,uniqBlk,recv,1,6,32,4096,604.10,22.84
prefix,uniqBlk,recv,1,6,64,4096,704.70,22.41
prefix,uniqBlk,recv,1,6,128,4096,804.81,25.55
prefix,uniqBlk,recv,1,6,256,4096,904.76,29.43
prefix,uniqBlk,recv,1,6,512,4096,1004.55,38.15
normal,uniqBlk,recv,2,2,32,4096,52.27,1.55
normal,uniqBlk,recv,2,2,64,4096,96.33,2.58
normal,uniqBlk,recv,2,2,128,4096,183.57,4.84
normal,uniqBlk,recv,2,2,256,4096,358.25,8.96
normal,uniqBlk,recv,2,2,512,4096,707.49,17.82
prefix,uniqBlk,recv,2,2,32,4096,108.54,4.33
prefix,uniqBlk,recv,2,2,64,4096,126.57,5.14
prefix,uniqBlk,recv,2,2,128,4096,144.23,5.83
